persian text nalysis,polarity
"کمیته بین‌المللی نجات: تازمانی‌که گام‌های سریع برای احیای اقتصاد #افغانستان برداشته نشود، درد و رنج مردم بیشتر خواهد شد و جان‌ها از دست خواهند رفت",-1
"کشور در هفته‌های آینده شاهد تعطیلی کسب‌وکارهای بیشتر، بیکار شدن افراد و سقوط در فقر خواهد بود.",-1
نبود زنان در بازار کار سبب کاهش رشد اقتصاد افغانستان می‌شود,1
برای ثبات اقتصادی افغانستان کار می‌کنیم و کارهایی نیز انجام شده‌است,1
امریکا مردم افغانستان را در فقر مطلق نکه داشته اقتصاد مردم را از بین بردند . وباید پول های افغانستان را بر گردانند.,1
"دارایی‌های مسدود شده افغانستان متعلق به مردم افغانستان است و آزاد کردن این دارایی‌ها که برای احیای اقتصاد افغانستان و نجات جان مردم حیاتی است، نباید به هیچ وجه سیاسی و مشروط شود.",1
دست شون دردنکنه خداوندیارویاورشون باشه,-1
"فرستاده ویژه سازمان ملل متحد برای افغانستان روز چهارشنبه گفت که جامعه بین المللی برای احیای اقتصاد این کشور در حالی که به سمت ""نقطه برگشت ناپذیر"" پیش می رود، اقدامات کافی انجام نداده است.",-1
خطاب به ریس یانوما اگر واقعیت تلخی امروز افغانستان بیان کنند فقر اقتصادی فراموش خواهد کردافغانستان به نقطه اوج جنایات هولناک نابخشیدنی توسط گروه تروریستی رسیده قتل عام کوچ اجباری تلاشی خانه به خانه خلاصه سرکوب خفه کردن صدای دیگر اقوام افغانستان بعد تسلیم دادن چرانادیده می‌گیرند,-1
غیبت زنان به اقتصاد افغانستان آسیب می‌زند,-1
افغان هرگز چیزی کرده نمی تواند. ۲۷۰ سال این پشاوری ها در این سرزمين گوی خودرا کردند,-1
"وضعیت افغانستان و پیامدهای آن بر صلح و امنیت بین‌المللی، گفته است که وضعیت در افغانستان هم‌چنان چالش‌برانگیز است و این کشور با یک بحران انسانی فزاینده، یک رکود اقتصادی بزرگ، سیستم‌های بانکی و مالی فلج‌کننده و چالش‌های مربوط به ایجاد یک دولت فراگیر دست‌وپنجه نرم می‌کند.",1
"بانک مرکزی می‌گوید که در ادامه کمک‌های بشری جامعه جهانی به افغانستان، امروز ۳۲ میلیون دالر پول نقد به کابل رسید و به بانک بین المللی افغانستان تسلیم داده شد. بانک مرکزی گفته است که این هفدمین بسته کمکی پول نقد است که به افغانستان می‌رسد.",1
"برخی از زنان و دختران تجارت‌پیشه در یک نمایشگاه ساخته‌های دستی در ولایت هرات می‌گویند که در ماه‌های پسین، کاروبار آنان دوباره رونق گرفته است. ",1
"به گفته آنان، با کاهش محدویت‌ها بر فعالیت‌های بانوان، شماری از زنان و دخترانی که در بخش‌های صنایع دستی فعالیت دارند، دوباره به کارهای شان برگشته اند.",1
"کمیته بین المللی نجات با نشر خبرنامه‌یی گفته است که در بحبوحه بحران اوکرایین، جهان نباید افغانستان را فراموش کند. این سازمان از جامعه جهانی خواسته است که کمک‌هایش را از بهر رسیده‌گی به وضعیت اقتصادی و بشری در افغانستان و همچنان وضعیت زنان و دختران افزایش دهد. ",1
«یونیسف» می افزاید از دو میلیار دالری که از کشور های جهان برای این صندوق درخواست شده بود تنها پانزده درصد آن گردآوری شده است,-1
"وزارت مالیه افغانستان در نظر دارد تا راهکار تعرفه‌های گمرکی کشور را بررسی و برای مالیه دهنده‌گان، بازرگانان و سرمایه‌گذاران سهولت بیشتر ایجاد کند.",-1
"همزمان با بدتر شدن وضعیت اقتصادی در افغانستان، شمار کودکان کارگر در ماه‌های پسین در کابل و برخی ولایت‌های دیگر افزایش یافته که نگرانی‌ سازمان‌های جهانی را نیز به دنبال داشته است.",1
"شماری از باشنده‌گان کابل از بلند بودن بهای خوار و بار در پایتخت شکایت دارند. آنان می‌گویند که هرچند بهای مواد اولیه در بازارها اندکی کاهش یافته بود، اما از نزدیک به یک هفته به این‌سو دوباره افزایش یافته است.",-1
بانک مرکزی می‌گوید که فردا حدود ۱۴ میلیون دالر امریکایی را طی یک داوطلبی به گونه لیلام به فروش می‌رساند. این بانک در اطلاعیه‌یی گفته است که بانک‌ها و شرکت‌های صرافی و خدمات پولی واجد شرایط می‌توانند در این داوطلبی اشتراک کنند. ,-1
افغانستان برای همیشه فراموش شده زامبی و سویتی ناحق برای دنیا نمایش میتن ولی حال همه متوجه اوکراین است امو انشاالله گفتن ط البان هم نتیجه نداد ههه تا که یک گنده گی دگر از دست شان سر بزند که امریکا و یا کدام کشور دگر باز سال ۲۰۰۰ و یا دشت لیلی را تکرار کند,1
بتین به طالبان که شکم شان سیر شوه بقیه مردم را بلا ده پس اش,-1
خواست مردم هم همین است چرا که این پول مربوط به مردم افغانستان است و باید به بانک مرکزی منتقل شود,0
"میراث بیست سال حضور غربی ها در افغانستان، در تمام جنبه ها زودگذر، شکننده و بی‌دوام بود و تنها ناامنی و جنگ حاصل شد.",1
"اعتماد دوباره به غرب اشتباه محض است. غرب و آمریکای جنایتکار، از منافع خود نمی گذرند حتی با روشن کردن آتش ناامنی و جنگ . آمریکا متاسفانه آتش جنگ را روشن می کنند و خودشان به تماشا می نشینند.",1
کمک به کسی نمیرسد. خوب است که به بانک مرکزی داده شود.,-1
"اگر این توافق واقعا صورت گرفته باشد، یک بشارت خوبی است",-1
ها خو از بانک باز انتقال بدن خاهینین کشور,-1
"کمیتۀ بین‌المللی صلیب سرخ (ICRC) در افغانستان از تشدید بحران اقتصادی در این کشور ابراز نگرانی کرده و گفته است که ادامۀ این وضعیت، میلیون‌ها نفر را در افغانستان متاثر ساخته است.",1
"آنتونیو گوترش، دبیرکل سازمان ملل با نگرانی از وضعیت افغانستان می‌گوید که اقتصاد این کشور سیر نزولی دارد. ",-1
"گوترش روز گذشته در تویتی گفته است که برای جلوگیری از فروپاشی اقتصادی افغانستان، نیاز است که نقدینگی به سرعت در نظام اقتصادی این کشور تزریق شود.",-1
"هلمند در جنوب افغانستان، در بیست سال گذشته، مرکز جنگ بود، با قربانی های بسیار. حالا جنگ تمام شده و دیگر قربانی نمی گیرد، اما در عوض این وضعیت اقتصادی و فروپاشی نظام بهداشتی است که بلای جان مردم شده و بیشتر از همه کودکان قربانی این وضعیت می شوند. یوگیتا لیمای، به چند ولسوالی هلمند سفر کرده و این گزارش را تهیه کرده.",1
"نزدیک به دو ماه پس از قدرت گرفتن دوباره طالبان در افغانستان، وضعیت اقتصادی مردم این کشور رو به وخامت گذاشته و بسیاری از کابل کوچ می‌کنند. ",-1
"‏چین، ایران و پاکستان به خاطر بهبود وضعیت اقتصادی افغانستان بر آزاد شدن دارایی منجمد این کشور تأکید دارند، روسیه و ایران خواهان حکومت همه شمول برای ثبات دایمی در افغانستان اند.",1
در چندین ماه گذشته تلاش دولت طالبان در به رسمیت شناخته شدن توسط جامعه جهانی ناکام مانده و این اقتصاد و معاش مردم افغانستان را کاملا مختل کرده. ,-1
ما تلاش می‌کنیم که اقتصاد افغانستان خودکفا شود.,1
کمک‌های بشری به تنهایی قادر به حل بحران بشری در افغانستان نیست.,-1
برای حل بحران بشری در افغانستان باید چرخه اقتصاد از طریق عملی سازی پروژه‌های انکشافی و فعال‌ سازی کارخانه‌ها به حرکت بیایند.,0
"اگر ذخایر خالص ارزی افغانستان چنان که در فرمان آمده اختصاص داده شود، بزرگ‌ترین و جبران ناپذیر ترین ضربه ممکن به اقتصاد افغانستان خواهد بود.",-1
بزرگ‌ترین اقتصاد دنیا فقط اونجاش که پول مردم افغانستان رو می‌دزده!,-1
"دبرا لاینز، رئیس یوناما می‌گوید افغانستان به نقطه اوج فروپاشی اقتصادی نزدیک می‌شود. ",-1
"به گفته او این کشور در هفته‌های آینده شاهد تعطیلی کسب‌وکارهای بیشتر، بیکار شدن افراد و سقوط در فقر خواهد بود.",1
و هشدار داد که اقتصاد افغانستان به نقطه برگشت‌ناپذیری سقوط خواهد کرد.,1
هیأت معاونت سازمان ملل در افغانستان (یوناما) می‌گوید که این نهاد به تلاش‌هایش در راستای یافتن راه‌هایی از بهر در دسترس قرار دادن پول بیشتر از ذخایر ارزی افغانستان به مردم این کشور و برگشت آن به اقتصاد افغانستان ادامه می‌دهد.,1
ایالات متحده امریکا: احیای اقتصاد افغانستان مهم است,1
"ذبیح الله مجاهد، سخنگوی امارت اسلامی، گفت: «تقاضا به عمل می‌رود که تمام آن محدویت‌ها و موانع که بالای سرمایه و تجارت افغانستان علاوه شده است باید آن موانع دور شود و برای روابط دیپلماتیک زمینه مساعد شود.»",1
"همزمان با افزایش نگرانی ها از احتمال فروپاشی کامل اقتصاد افغانستان، سازمان ملل متحد، از تزریق هشت میلیارد دالر به اقتصاد کشور خبر می دهد.",1
"مقام های بلند پایه سازمان ملل متحد، می گویند که این سازمان برای احیای اقتصاد افغانستان طرح هشت میلیارد دالری را در نظر گرفته است.",1
طالبان اگر اندکی عقل و وجدان داشته باشد باید با جامعه جهانی تعامل کند تا وضعیت در افغانستان ازین بد تر نشود.,0
"وقتی جامعه جهانی دلسوز مردم افغانستان است باید حکومت دلخواه مردم را ایجاد کند،بااین جاهلان که نمیشود حکومتداری کرد.",1
پاکستان موفق شد افغانستان را سوبه پنجم بسازد,1
اگر واقعیت داشته باشد باید تحت نظر ساز مان نام نهاد اول برای مستحقین توزیع شود ومتباقی اش را غرض خرید قصر به کشور های عربی به طالبان داده شود,-1
همین پول که کمک میشه فابریکه جور کنی شرکتها جور کنی تا هیچ جوان ما بیکار نمانه تمام پولها در جیب احمقا است به مردم بیچاره ما نمیتن حیف جوانا ما بیکار هستن ای کاش ریس جمهور افغانستان شوم به یکسال,1
اینها بخاطر نابودی کشور و ملت آورده شده اند اینها این حرف ها را نمی دانند اینها همه نوکر و ملیشه های پاکستانی است که قدرت را بدست شان داده آمریکا,1
مردم در افغانستان نگران وضع اقثصادی است.,-1
کمک های جهانی باید توقف نشود.,-1
"ای مردم غریب دنبال پیدا کردن یک لقمه نان است، که زنده بماند.",1
اکثریت مردم به دلیل نبود کار و بار اواره کشور های همسایه شدند.,
کمک های جهانی برای تعداد از مزدم امید وار کننده است.,-1
,0
"بانک جهانی با نشر نتیجه یک نظرسنجی تازه گفته است که پس از دوباره روی کار آمدن امارت اسلامی، شمار کسانی که قادر به فراهم سازی غذا و دیگر مواد اولیه مورد نیاز شان نیستند، دو برابر شده و نرخ بیکاری در کشور افزایش یافته است.",-1
این چی حال است خدایا خودت رحم کن بالای ملت ما,-1
اگر کمی نان داشتیم امنیت نداریم اگر کمی امنیت خوب تر شد نان نداریم,0
عجب بدبختی داریم مل,-1
هدیه طالبان برای مردوم,1
بانک جهانی نیز در ایجاد کردن چنین وضعیتی نقش اساسی ایفا کرد با قطع کردن تمام پروژه ها.,-1
صد فيصد واقعت است,0
بسیار ناراحت کننده است,1
خیر است مقصد مردم نماز می خواند دیگه نان درد که را دوا کرده است خوب است که هیچ نباشد .,-1
"هدف وزارت اقتصاد، حمایت از سرمایه گذاران ملی از جمله بانوان تجارت پیشه است.",1
"موسسه اقتصاد و صلح در گزارشی درباره شاخص جهانی تروریسم، افغانستان را برای سومین بار در صدر کشورهای متاثر از تروریسم قرار داد.",-1
برای حل بحران بشری در افغانستان باید چرخه اقتصاد از طریق عملی سازی پروژه‌های انکشافی و فعال‌ سازی کارخانه‌ها به حرکت بیایند.,-1
در چندین ماه گذشته تلاش دولت طالبان در به رسمیت شناخته شدن توسط جامعه جهانی ناکام مانده و این اقتصاد و معاش مردم افغانستان را کاملا مختل کرده. ,-1
بگو شما پول های ما دزدی نکنی کمک تون نمی‌خواهم,1
افغانستان فعلا تحت حکومت طالبان است بدون جنگ نابود شده اقتصاد شأن .,-1
ما در تلاش هستیم تا اقتصاد افغانستان دوباره روی پای خود به ایستد.,0
"شما زیاد کار ها میکنن، هیچ نتیچه نداره",-1
چه رقم وقتی همه بیکار است.,-1
همه مردم در حال فرار است.,1
"شما از شکم سیر تان گپ میزن، مردم از گرسنگی میمیره.",-1
خدا اقتصاد افغانستان خوب کنه انشاالله,0
امریکا مردم افغانستان را در فقر مطلق نکه داشته اقتصاد مردم را از بین بردند .,1
"پشت ای گپا نگردین، ",0
"به کوری چشم تان افغانستان آباد میشود ،دختران به مکتب میروند ، بی کاران سر کار میشوند، اقتصاد شکوفا میشود امنیت نمبر اول را در جهان میگیرد ، خداوند از برکت جانفشانی های مجاهدین و برکت خون شهداء افغانستان را بر قلعه های بلند شکوفائی مینشاند. ",1
در بیانیه سازمان ملل متحد به بحران بانکی و مالی در داخل افغانستان نیز اشاره شده و گفته شده که هشتاد درصد مردم با بدهی و افزایش قیمت مواد غذایی و سوخت مواجه هستند.,-1
"با فرا رسیدن فصل بهار، بازار خرید و فروش گل و نهال‌های گونه‌گون در بازارهای کابل بیشتر می‌شود. اما امسال برخی از فروشنده‌گان گل می‌گویند که فروشات آنان کاهش یافته است.",1
"همایون، فروشنده گفت: «نسبت به سال‌های قبل یک مقدار خرید و فروش اش کمتر شده، گل‌ها نام خدا زیاد تر است یک مقدار مردم کمتر گشت و گذار می‌کنند.»",-1
"فریدون، فروشنده گفت: «بیشتر از ۵۰۰ تا ۶۰۰  نوع گل داریم که قبلا تکثیر اش در بیرون از افغانستان بود و حال خوشبختانه تکثیر یا ترویج اش در خود افغانستان توسط دهاقین خود ماصورت می‌گیرد.»",1
"از سویی هم، برخی از باشنده‌گان کابل می‌گویند که فقر و تنگدسی مردم سبب شده است تا خریداران گل در این بازارهای کشور کاهش یابد.",-1
"عبدالمنان، باشنده کابل گفت: «نسبت به هر سال که میبینیم اقدر بیرو بار و رشد ندارد حساب شه نمیفامم که تحولات آمد....»",-1
"شیرآغا، باشنده کابل گفت: «سابق که  می‌آمدیم بسیار بیروبار می‌بود اما امروز که ما اینجا آمدیم هیچکس نیست ما یک دو نفر آمدیم خلاص.»",0
"این یک گام مثبت در صورت اجرا خواهد بود. ما نیاز به اقدام داریم سید مسعود، استاد دانشگاه گفت: اگر این فقط یک وعده باشد، اعتماد را از بین می برد.",0
این در حالی است که کارزار نهال‌شانی در هفته‌های پسین در بخش‌های گونه‌گون کابل و ولایت‌های دیگر کشور نیز آغاز شده است.,1
"به تازه‌گی یک شرکت داخلی (اورزلا) شکوفه‌های گلاب و نارنج افغانستان را به بیرون کشور صادر می‎کند و شرکت‌های عطر سازی، شکوفه نارنج و گلاب افغانستان را پس از پروسس عطر می‌سازند و به گونه‌های متفاوت به بازارهای جهان عرضه می‌کنند.",1
مسؤولان شرکت اورزلا می‎گویند که از یک لیتر عطر نارنج در حدود ده هزار بوتل عطر تهیه می‌شود.,1
"شرکت اورزلا، مراحل نخستین تهیه عطر از گلاب و نارنج را در داخل افغانستان انجام می‌دهد و سپس این عطر را برای پروسس بیشتر و تنوع در بو و رنگ، به یک شرکت کانادایی می‌فروشد.",1
"عبدالله ارسلا، رییس شرکت اورزلا می‎گوید که امسال این شرکت کانادایی، ده‌ها لتیر عطر را در بازارهای جهان به فروش رسانده است: «در جلال آباد پروسه‎های نخستین را انجام می‎دهیم و آب گلاب و نارنج را می‎گیریم و به بیرون صادر می‎دهیم.»",1
"عطر گل‌های نارنج و گلاب بیشتر در ولایت ننگرهار تولید می‎شود. به گفتۀ شرکت‌های تولید کننده عطر، از یک لیتر عطر تا ده هزار بوتل عطر تولید می‎شود: «عطرهای گلاب و نارنج برعلاوه خوشبویی، خاصیت دارویی نیز دارند.»",1
"اما، این عطرها در افغانستان نیز بازار خوبی دارند.",1
"اختر محمد که در شهر کابل فروشگاه دارد، می‌گوید که بازار این عطرها در کشور نیز رونق پیدا کرده است: «عطر ما خالص است و مواد اضافی ندارد و به همین خاطر از سوی مردم استقبال می شود.»",1
"این در حالی است که یک سرمایه گذار افغان در ولایت ننگرهار، برای بهره گیری از گلاب، در یک هزار و پنج صد جریب زمین را گلاب کشت کرده و از هزاران جریب باغ های نارنج نیز بهره می‌گیرد.",1
"وزارت مالیه می‌گوید که تا پایان همین ماه پیش نویس بودجه سال مالی جدید نهایی خواهد شد. به گفته این وزارت، در بودجه سال مالی ۱۴۰۱، برای پروژه‌های انکشافی بودجه اندک در نظر گرفته شده است و مشوره با وزارت‌های گونه‌گون در باره بودجه عادی و انکشافی ادامه دارد.",1
"امارت اسلامی بودجه سال مالی را از ماه جدی به ماه حمل تغییر داده است و سال مالی از ماه حمل آغاز و تا ماه حوت به پایان می‌رسد. سخنگوی وزارت مالیه مقدار بودجه عادی و انکشافی در سال ۱۴۰۱ هجری خورشیدی را مشخص نمی‌سازد، اما می‌گوید که بودجه سال مالی جدید تا پایان ماه حوت نهایی خواهد شد.",0
"احمد ولی حقمل، سخنگوی وزارت مالیه گفت: «از تمام وزارت‌ها شنیده شود که چه نیازمندی دارد، باز بیبینیم که چقدر توان داریم. کار جریان دارد و تلاش می‌شود تا پایان ماه حوت مسوده بودجه نهایی شود.»",1
"برخی آگاهان مسایل اقتصادی به این باور اند که کاهش بیش از حد بودجه انکشافی، میزان فقر در کشور را افزایش خواهد داد و درآمدها کاهش خواهند یافت.",-1
"میر شکیب، آگاه مسایل اقتصادی گفت: «به هر اندازه که بودجه توسعه‌یی کاهش یابد، به همان اندازه میزان فقر، بیکاری و عواید دولت کاهش خواهد یافت و روند عرضه خدمات به مشکل روبرو خواهد شد.»",0
"عبدالنصیر رشتیا، آگاه مسایل اقتصادی گفت: «تا پروژه‌های کلان انکشافی حرکت نکند، باعث تورم، بیکاری و ضعف سکتور خصوصی خواهد شد.»",-1
"پیش از این، وزارت مالیه برای بودجه عادی و انکشافی کشور در ماه‌های جدی، دلو و حوت، نزدیک به ۵۴ میلیارد افغانی در نظر گرفته بود که سهم بودجه انکشافی در آن کمتر از پنج میلیارد افغانی است.",0
وزارت معادن و پترولیم می‌گوید که گفت‌وگوها در باره آغاز کار پروژه مس عینک لوگر با شرکت ام سی سی چین ادامه دارد و تا پایان ماه روان میلادی یک هیات از چین وارد کابل خواهد شد.,1
"بربنیاد اطلاعات سخنگوی این وزارت، امارت اسلامی از شرکت ام سی سی چین خواسته است که بربنیاد قرارداد قبلی، کارش را در پروژه مس عینک لوگر ادامه دهد.",1
"عصمت الله برهان، سخنگوی وزارت معادن و پترولیم گفت: «در ماه مارچ به گونه فزیکی در کابل می‌آیند و با وزارت معادن و پترولیم دیدار و گفت‌وگو خواهند کرد.»",1
"ساخت راه آهن از تورخم تا حیرتان، کارخانه حرارتی تولید برق با ظرفیت چهارصد میگاوات، ساخت جاده مس عینک و پروسس مس در داخل افغانستان از موارد مهم قرارداد معدن مس عینک لوگر با شرکت ام سی سی چین شمرده می‌شوند.",1
"از سویی هم، مقام‌های محلی ولایت لوگر می‌گویند که تمام آماده‌گی‌ها برای آغاز کار پروژه مس عینک لوگر در این ولایت گرفته شده است.",1
"رفیع الله صمیم، رییس اطلاعات و فرهنگ ولایت لوگر گفت: «ام سی سی چین با مسوولان وزارت معادن و پترولیم در تماس است و آماده‌گی نشان داده اند، برخی از مسایل در میان است که در باره آن گفتگو می‌شود و این مسایل حل و فصل خواهد شد.»",1
مس عینک لوگر در سی کیلومتری ولایت کابل موقعیت دارد و از سال‌ها بدینسو کار آن متوقف است.,-1
"بربنیاد قرارداد پیشین با استخراج مس از این معدن، شرکت چینی مکلف است سالانه چهارصد میلیون دالر به حکومت افغانستان بپردازد.",0
"به باور برخی آگاهان مسایل اقتصادی، چالش‌های امنیتی و موجودیت آثار باستانی در مرکز مس عینک لوگر کار استخراج این معدن را سال‌ها به تاخیر انداخت.",-1
"شاگریعقوبی، آگاه مسایل اقتصادی گفت: «نمی‌شود که برای پیشبرد وضعیت اقتصادی و پروژه‌های کلان و بهره برداری آن به گفتگوها دل ببندیم، منافع کلان نیاز به برنامه‌های کلان اقتصادی دارند.»",1
وزارت معادن و پترولیم در سال ۲۰۰۸ قرارداد معدن مس عینک لوگر را با شرکت ام سی سی چین امضا کرد و در این قرارداد شرکت چینی باید در مرحله نخست بیش از دو و نیم میلیارد دالر در این پروژه سرمایه‌گذاری می‌کرد و روند استخراج آغاز می‌شد.,1
"شماری از باشنده گان کابل انتقاد می‌کنند که با وجود کاهش ارزش دالر در برابر افغانی، بهای مواد خوراکی در بازارها به گونه لازم کاهش نیافته است.",-1
آنان از مسوولان می‌خواهند تا جلو گران فروشی مواد اولیه را در بازارهای پایتخت بگیرد.,-1
"از سوی‌هم، اتاق پیشه وران و دکانداران تنش‌ها میان روسیه و اوکراین را عامل بلند رفتن بهای مواد خوار و بار و نفت در کشور می داند.",-1
"شماری از باشنده گان پایتخت می‌گویند با آنکه دالر در حال حاضر تا کمتر از ۸۶ افغانی در بازارها معامله می‌شود، تغییرات قابل ملاحظه‌ی در بهای مواد خوراکی دیده نمی‌شود.",-1
"وقتیکه دالر  ۱۰۵ افغانی تبادله می‌شد، بهای یک بوری آرد۲۴۰۰ افغانی، یک بوری برنج ۲۷۰۰ افغانی و ۱۶ لیتر روغن ۲۸۰۰ افغانی، بود. اما اکنون که یک دالر کمتر از ۸۶ افغانی تبادله می شود، بهای یک بوری آرد ۲۱۰۰ افغانی، یک بوری برنج ۲۵۰۰ افغانی و ۱۶ لیتر روغن ۲۴۲۰ افغانی است.",-1
"دین محمد باشنده کابل گفت:« بیکاری بسیار زیاد است دالر با وجودی که پایین می‌آمد ،نرخ‌ها بازهم در جای خود ایستاد است.»",-1
در همین حال رییس اتاق پیشه وران و دکانداران می‌گوید که بهای مواد خوراکی و مواد نفتی در بازارهای جهانی افزایش یافته است.,-1
"عبدالحق عمری، رییس اتاق پیشه وران و دکانداران گفت: «نرخ جهانی مواد خوراکی به گونه سرسام آور در بازارهای جهانی پس از جنگ اوکراین بلند رفته است و تاثیرات منفی در افغانستان گذاشته است.»",-1
از سویی هم اتاق تجارت و سرمایه گذاری مشکلات بانکی را یکی از چالش‌های عمده بازرگانان در انتقال پول به بیرون از کشور می‌داند.,-1
"خیرالدین مایل، عضو تجارتی اتاق تجارت و سرمایه گذاری گفت:«هم از امارت اسلامی و هم از جامعه جهانی می‌خواهیم تا شرایط داد و ستد بانکی را به مردم افغانستان فراهم کند.»",1
"افغانستان بیشتر مواد خوراکی خود را از ایران، پاکستان و آسیای میانه وارد م‌ کند هرچند  بخش زیاد از نفت کشور از ایران، روسیه و ازبیکستان وارد می شود.",0
"در سال 2021، کمک های جامعه جهانی به افغانستان متوقف شد و دارایی های موجود در بانک های خارجی مسدود شد و اقتصاد این کشور در آستانه سقوط قرار گرفت.",-1
"بزرگترین برنامه ملی کشور، CCNPP، که با هدف کاهش فقر و کمک به توسعه مناطق روستایی انجام شده بود، به حالت تعلیق درآمد.",-1
"در اواسط سال 2021، افغانستان با خشکسالی مواجه شد.",-1
"در همین حال، سال 2021 سال خوبی برای بخش هوانوردی افغانستان نبود. در 15 اگست تمام پروازهای تجاری به حالت تعلیق درآمد و صدها مسافر با وجود داشتن ویزا و پاسپورت از میدان هوایی کابل به خانه بازگشتند.",-1
"زمانی که حکومت سابق در 15 اوت سقوط کرد، مردم به بانک‌های کابل و مراکز ولایات هجوم آوردند و بانک‌های خصوصی و دولتی با کمبود نقدینگی مواجه شدند.",-1
"سیار قریشی، اقتصاددان گفت: «اقتصاد افغانستان پس از به قدرت رسیدن طالبان، با تعلیق کمک های مالی و مسدود شدن دارایی های ملی در سال 2021، دچار بحران های انسانی بزرگ شد.",-1
"در سال 2021، وزارت خزانه داری ایالات متحده بیش از 9 میلیارد دلار از دارایی های افغانستان را مسدود کرد و در 15 آگوست - روزی که امارت اسلامی قدرت گرفت - تمام مبادلات بانکی این کشور با جهان قطع شد.",-1
"در سال 2021، واحد پول افغانستان با نوسانات شدید روبرو شد.",-1
"بر اساس آمار سرپرست پیشین بانک مرکزی افغانستان که در صفحه فیس بوک خود منتشر کرده است، قبل از سقوط دولت گذشته، یک دلار آمریکا با نرخ های زیر مبادله می شد:",0
"عبدالرحمن زیرک، سخنگوی اتحادیه صرافان در سرای شهزاده گفت: ""در سال 2021 ما خاطره خوبی از ارزش افغانی نداشتیم، پول افغانی در تمام سال روز به روز ارزش خود را از دست می داد.""",-1
"در سال 2021، بانک جهانی تمام پروژه های خود را به افغانستان تعلیق کرد و بزرگترین برنامه آن، برنامه اولویت ملی منشور شهروندی یک میلیارد دلاری (CCNPP) نیز متوقف شد.",-1
"در ماه های آخر سال، برنامه انکشافی سازمان ملل متحد (UNDP) گزارش داد که نزدیک به 97 درصد از جمعیت افغانستان زیر خط فقر خواهند رفت.",-1
"امسال، گرسنگی و افزایش بیکاری هزاران افغان را مجبور کرد برای یافتن شغل به ایران و پاکستان فرار کنند.",-1
"احمد ولی حقمل، سخنگوی وزارت مالیه گفت: «پس از تغییر سیاسی، همه نهادهای کمک رسانی کمک های خود را به افغانستان قطع کردند، مشکلات زیادی در کشور وجود داشت.",-1
